# date,word
2025-11-24,REACT
2025-11-25,BLOCK
2025-11-26,CHAIN
2025-11-27,TOKEN
2025-11-28,LEARN
2025-11-29,DREAM
2025-11-30,SHORE
2025-12-01,SHEEP
2025-12-02,ALGAE
2025-12-03,PECAN
2025-12-04,COLOR
2025-12-05,TRIPE
2025-12-06,HOUSE
2025-12-07,SPACE
2025-12-08,THINK
2025-12-09,BAGEL
2025-12-10,SKILL
2025-12-11,GAMES
2025-12-12,ZEBRA
2025-12-13,WATER
2025-12-14,TRAIN
2025-12-15,HONEY
2025-12-16,LEMON
2025-12-17,SWEET
2025-12-18,PEACH
2025-12-19,CLASS
2025-12-20,SQUID
2025-12-21,DANCE
2025-12-22,TIGER
2025-12-23,SWISS
2025-12-24,PANDA
2025-12-25,PLUTO
2025-12-26,SPORT
2025-12-27,CHAIR
2025-12-28,PHONE
